vehicle_1,vehicle_2,vehicle_1_route,vehicle_2_route,weighted_congestion_score
37,478,2,2,4.707412593782638
37,520,2,2,3.8984566473221927
37,523,1,1,0.44267790445519606
37,571,1,2,1.2155436354934572
37,571,2,2,1.2155436354934572
37,576,2,1,0.537498390119691
37,597,2,2,12.995396124072938
37,613,2,2,2.754190401290242
37,651,1,1,0.9198182071327353
37,664,1,2,0.8660837168540773
37,742,1,1,0.9299657502493857
37,751,1,2,0.9954849973339894
37,751,2,2,0.9954849973339894
37,767,2,1,2.251829385380879
37,772,2,2,5.23242063821085
37,782,2,1,0.9376859458466714
37,809,2,2,0.6866301331286874
37,813,1,1,0.5106942601797486
37,824,1,1,1.7787445796988188
37,862,2,1,0.0
37,875,2,2,4.099331695979009
37,890,2,1,0.819951179131906
37,902,1,1,1.1668638171509813
37,902,1,2,0.5426391575518854
37,902,2,1,0.8725036654148575
37,917,1,1,0.5118514848346929
37,917,1,2,0.43393819719646143
37,917,2,1,1.3632288300712552
37,938,1,1,2.9894424411096177
37,951,1,1,0.41727213748433994
37,951,1,2,0.5146185943099153
37,951,2,2,4.890879674569563
37,989,2,1,0.7321300584741979
38,148,1,2,1.467041034560558
38,189,1,1,0.7836002080051516
38,242,1,1,1.00750210764487
38,242,1,2,1.5270804191217648
38,298,2,2,0.29888232583277496
38,322,1,2,5.1864087760966875
38,325,2,2,0.4234755626735262
38,373,2,2,0.27232791844402476
38,399,1,1,0.0
38,399,1,2,0.4732364604756629
38,399,2,1,0.0
38,399,2,2,7.559374260169561
38,420,1,1,2.388749133653078
38,423,2,1,0.3085455405657494
38,447,1,1,0.830800351094074
38,471,1,2,1.7412621441290927
38,477,1,2,0.3582414198853663
38,480,2,1,0.0
38,493,1,1,0.8577395791212683
38,509,1,1,0.38149119518577274
38,519,1,1,1.33203804474751
38,538,1,1,0.7726099900194663
38,546,2,2,1.377488349584281
38,550,1,1,0.7813520960722964
38,562,1,2,3.0900217039141538
38,562,2,2,2.453198235735842
38,585,2,2,5.185606984723354
38,593,2,1,0.0
38,617,2,1,0.0
38,618,2,1,0.0
38,675,2,2,0.5363891378235975
38,708,1,1,2.620795214531523
38,708,1,2,0.5338222174021056
38,708,2,1,0.5124929368667634
38,708,2,2,7.182117570728667
38,718,1,2,1.5726852157538853
38,730,1,1,0.3548571989165399
38,746,2,1,1.1794860076528337
38,749,1,1,0.4690167859556342
38,754,1,1,1.9147275954036533
38,754,1,2,1.5461580415204597
38,754,2,1,14.190775898154984
